AnimalName,animalclass,animalbreed,animalcolour,animalgender,animaldesexed,suburb_name
Boof,Standard - Both desexed & microchipped,Labrador Retriever,Black,M,Y,NORTH HAVEN
Bella,Standard - Both desexed & microchipped,Labrador Retriever,Gold,F,Y,NORTH HAVEN
Marley,Non-Standard - Not desexed/microchipped,Poodle (Toy),Black,M,Y,NORTH HAVEN
Bear,Standard - Both desexed & microchipped,Pomeranian,Tan,M,Y,NORTH HAVEN
Ozzie,Standard - Both desexed & microchipped,Poodle (Toy),Black,M,Y,NORTH HAVEN
Shady,Non-Standard - Not desexed/microchipped,Alaskan Malamute,Grey,M,N,NORTH HAVEN
Bella,Standard - Both desexed & microchipped,Maltese,White,F,Y,NORTH HAVEN
Nala,Standard - Concession,American Staffordshire Terrier,Tan,F,Y,NORTH HAVEN
Boi,Non-Standard - Concession,American Staffordshire Terrier,Tan,M,N,NORTH HAVEN
Penny,Non-Standard - Not desexed/microchipped,Poodle (Toy),Cream,F,Y,NORTH HAVEN
Coco,Standard - Both desexed & microchipped,Border Collie,Brown,F,Y,NORTH HAVEN
Jazzy,Standard - Both desexed & microchipped,Australian Kelpie,Red,F,Y,NORTH HAVEN
Dillon,Standard - Both desexed & microchipped,Rhodesian Ridgeback,Tan,M,Y,NORTH HAVEN
Mika,Standard - Both desexed & microchipped,Whippet,Fawn,F,Y,NORTH HAVEN
Charlie,Non-Standard - Pension,West Highland White Terrier,White,M,N,NORTH HAVEN
Lucky,Standard - Both desexed & microchipped,Terrier,Black,M,Y,NORTH HAVEN
Jed,Standard - Both desexed & microchipped,Poodle (Toy),Black,M,Y,NORTH HAVEN
Lucky,Standard - Both desexed & microchipped,Poodle (Toy),Black,M,Y,NORTH HAVEN
Dizzee,Standard - Both desexed & microchipped,Maltese,Tan,M,Y,NORTH HAVEN
Bear,Standard - Both desexed & microchipped,Bullmastiff,Brown,M,Y,NORTH HAVEN
Mr Polar Bear,Standard - Pension,Staffordshire Bull Terrier,White,M,Y,NORTH HAVEN
Maddi,Standard - Both desexed & microchipped,Chihuahua,Grey,F,Y,NORTH HAVEN
Sansai Greybeard,Standard - Both desexed & microchipped,Labrador Retriever,Black,F,Y,NORTH HAVEN
Scooby,Standard - Both desexed & microchipped,Shih Tzu,Beige,M,Y,NORTH HAVEN
Jax,Non-Standard - Not desexed/microchipped,American Staffordshire Terrier,Brown,M,N,NORTH HAVEN
Harvey,Standard - Both desexed & microchipped,Boxer,Brown,M,Y,NORTH HAVEN
Gordie,Standard - Both desexed & microchipped,Poodle (Toy),Black,M,Y,NORTH HAVEN
Alfie,Standard - Both desexed & microchipped,Poodle (Toy),Tan,M,Y,NORTH HAVEN
Alfie,Standard - Both desexed & microchipped,Poodle (Toy),Tan,M,Y,NORTH HAVEN
Ben,Non-Standard - Not desexed/microchipped,Golden Retriever,Gold,M,N,NORTH HAVEN
Livia,Standard - Both desexed & microchipped,Hungarian Vizsla,Tan,F,Y,NORTH HAVEN
Sophie,Non-Standard - Concession,Border Collie,Black,F,N,NORTH HAVEN
Norrington,Standard - Both desexed & microchipped,German Shepherd Dog,Sable,M,Y,NORTH HAVEN
Leo,Standard - Both desexed & microchipped,Poodle (Toy),Cream,M,Y,NORTH HAVEN
Cassie,Standard - Pension,Maltese,Black,F,Y,NORTH HAVEN
Missy,Standard - Both desexed & microchipped,American Staffordshire Terrier,Black,F,Y,NORTH HAVEN
Lady,Standard - Pension,Cavalier King Charles Spaniel,White,F,Y,NORTH HAVEN
Lacey,Standard - Both desexed & microchipped,Pomeranian,White,F,Y,NORTH HAVEN
Chloe,Standard - Both desexed & microchipped,Maltese,White,F,Y,NORTH HAVEN
Mia,Standard - Both desexed & microchipped,Maltese,White,F,Y,NORTH HAVEN
Rusty,Standard - Both desexed & microchipped,Border Collie,Black,M,Y,NORTH HAVEN
Zac,Standard - Both desexed & microchipped,Maltese,Blenheim,M,Y,NORTH HAVEN
Misty,Standard - Both desexed & microchipped,Poodle (Toy),Gold,F,Y,NORTH HAVEN
Desse,Standard - Both desexed & microchipped,Pug,Black,M,Y,NORTH HAVEN
Wrex,Standard - Both desexed & microchipped,Pug,Black,M,Y,NORTH HAVEN
Maggie,Standard - Both desexed & microchipped,Border Collie,Black,F,Y,NORTH HAVEN
Banjo,Standard - Both desexed & microchipped,Australian Kelpie,Black,M,Y,NORTH HAVEN
Jack,Standard - Both desexed & microchipped,Australian Kelpie,Red,M,Y,NORTH HAVEN
Sarge,Standard - Both desexed & microchipped,Boxer,Tri Colour,M,Y,NORTH HAVEN
Ruby,Standard - Both desexed & microchipped,Poodle (Toy),Apricot,F,Y,NORTH HAVEN
Mackie,Standard - Pension,Staffordshire Bull Terrier,Black,F,Y,NORTH HAVEN
Betty,Standard - Both desexed & microchipped,Chihuahua,Black,F,Y,NORTH HAVEN
Avro,Standard - Both desexed & microchipped,Pomeranian,Brown,M,Y,NORTH HAVEN
Angel,Non-Standard - Pension,Pomeranian,Cream,F,N,NORTH HAVEN
Peppa,Standard - Both desexed & microchipped,Maltese,White,F,Y,NORTH HAVEN
Alvin,Non-Standard - Not desexed/microchipped,Maltese,White,M,N,NORTH HAVEN
Alfee,Standard - Concession,Poodle (Standard),Biscuit,M,Y,NORTH HAVEN
Holly,Standard - Both desexed & microchipped,Jack Russell Terrier,White,F,Y,NORTH HAVEN
Ruby,Standard - Pension,Whippet,White,F,Y,NORTH HAVEN
Cody,Non-Standard - Not desexed/microchipped,Poodle (Toy),Apricot,M,Y,NORTH HAVEN
Rafe`,Standard - Both desexed & microchipped,Poodle (Toy),Apricot,M,Y,NORTH HAVEN
Brax,Standard - Both desexed & microchipped,Shar Pei,Brown,M,Y,NORTH HAVEN
Georgie Elizabeth Jamison,Standard - Pension,Maltese,Tan,F,Y,NORTH HAVEN
Argo,Standard - Both desexed & microchipped,Bullmastiff,Tan,M,Y,NORTH HAVEN
Oscar,Standard - Both desexed & microchipped,Bullmastiff,Tan,M,Y,NORTH HAVEN
Chelsea,Standard - Both desexed & microchipped,Great Dane,Black,F,Y,NORTH HAVEN
Benji,Standard - Both desexed & microchipped,Border Collie,Tri Colour,M,Y,NORTH HAVEN
Aneka,Standard - Pension,Maltese,White,F,Y,NORTH HAVEN
Bintang,Standard - Both desexed & microchipped,Belgian Shepherd,Black,M,Y,NORTH HAVEN
Rex,Standard - Both desexed & microchipped,Staffordshire Bull Terrier,Brindle,M,Y,NORTH HAVEN
Quinn,Standard - Both desexed & microchipped,Cavalier King Charles Spaniel,Tri Colour,F,Y,NORTH HAVEN
Nero,Non-Standard - Not desexed/microchipped,Border Collie,Black,M,N,NORTH HAVEN
Larry,Standard - Both desexed & microchipped,Pointer,Black,M,Y,NORTH HAVEN
Toby,Non-Standard - Not desexed/microchipped,Lhasa Apso,Salt,M,Y,NORTH HAVEN
Tia,Non-Standard - Not desexed/microchipped,Lhasa Apso,Black,F,Y,NORTH HAVEN
Boof,Standard - Both desexed & microchipped,Boxer,Brindle,M,Y,NORTH HAVEN
Bingo,Standard - Both desexed & microchipped,Pug,Tan,M,Y,NORTH HAVEN
Hunter,Non-Standard - Not desexed/microchipped,English Springer Spaniel,Black,M,N,NORTH HAVEN
Wynter,Standard - Both desexed & microchipped,Border Collie,Black,F,Y,NORTH HAVEN
Hurley,Standard - Both desexed & microchipped,Border Collie,Black,M,Y,NORTH HAVEN
Fenway,Standard - Both desexed & microchipped,Dalmatian,Black,M,Y,NORTH HAVEN
Luna,Standard - Both desexed & microchipped,Dalmatian,White,F,Y,NORTH HAVEN
Ella,Non-Standard - Not desexed/microchipped,Australian Kelpie,Black,F,Y,NORTH HAVEN
Cooper,Standard - Both desexed & microchipped,Labrador Retriever,Dark Brindle,M,Y,NORTH HAVEN
Andy,Standard - Both desexed & microchipped,Staffordshire Bull Terrier,Black,M,Y,NORTH HAVEN
Chilli,Standard - Pension,Chihuahua,Brown,M,Y,NORTH HAVEN
Milo,Non-Standard - Not desexed/microchipped,Staffordshire Bull Terrier,Brindle,M,N,NORTH HAVEN
Athena,Standard - Both desexed & microchipped,Cross Breed,Tan,F,Y,NORTH HAVEN
Noche,Non-Standard - Not desexed/microchipped,German Shepherd Dog,White,F,N,NORTH HAVEN
Dia,Non-Standard - Not desexed/microchipped,Staffordshire Bull Terrier,Black,F,N,NORTH HAVEN
Daisy,Standard - Both desexed & microchipped,Greyhound,Black,F,Y,NORTH HAVEN
Reuben,Standard - Both desexed & microchipped,American Staffordshire Terrier,Chocolate,M,Y,NORTH HAVEN
Ash,Standard - Both desexed & microchipped,Rottweiler,Black,F,Y,NORTH HAVEN
Fred,Standard - Both desexed & microchipped,Australian Cattle Dog,Red,M,Y,NORTH HAVEN
TOby,Non-Standard - Pension,Pomeranian,Brown,M,N,NORTH HAVEN
Buddy,Standard - Pension,Chihuahua,Black,M,Y,NORTH HAVEN
Bandit,Standard - Pension,Terrier,Tan,M,Y,NORTH HAVEN
Indy,Non-Standard - Pension,Jack Russell Terrier,Tri Colour,F,N,NORTH HAVEN
Key,Standard - Both desexed & microchipped,Poodle (Miniature),Black,M,Y,NORTH HAVEN
Max,Standard - Both desexed & microchipped,Poodle (Toy),White,M,Y,NORTH HAVEN
Bailey,Non-Standard - Concession,Jack Russell Terrier,Black,F,N,NORTH HAVEN
Missy,Standard - Both desexed & microchipped,American Staffordshire Terrier,Black,F,Y,NORTH HAVEN
Evie,Standard - Both desexed & microchipped,Jack Russell Terrier,White,F,Y,NORTH HAVEN
Gus,Standard - Concession,Maltese,White,M,Y,NORTH HAVEN
Thor,Non-Standard - Concession,Pug,Cream,M,N,NORTH HAVEN
Sammy,Non-Standard - Not desexed/microchipped,Shetland Sheepdog,Black,M,Y,NORTH HAVEN
Cisco,Non-Standard - Not desexed/microchipped,Shetland Sheepdog,Sable,M,Y,NORTH HAVEN
Bro,Non-Standard - Not desexed/microchipped,Lhasa Apso,Cream,M,Y,NORTH HAVEN
Cuzzie,Standard - Both desexed & microchipped,Maltese,White,F,Y,NORTH HAVEN
Holly,Non-Standard - Pension,Terrier,Brown,F,N,NORTH HAVEN
Billabong (Billy),Standard - Both desexed & microchipped,Lhasa Apso,Black,M,Y,NORTH HAVEN
Rusty,Standard - Both desexed & microchipped,Lhasa Apso,Rust,F,Y,NORTH HAVEN
Lily,Standard - Both desexed & microchipped,Poodle (Miniature),Honey,F,Y,NORTH HAVEN
Earl,Standard - Both desexed & microchipped,Dachshund,Brown,M,Y,NORTH HAVEN
Agnes,Standard - Both desexed & microchipped,Dachshund (Miniature),Black,F,Y,NORTH HAVEN
Ben,Standard - Both desexed & microchipped,Border Collie,Black,M,Y,NORTH HAVEN
Alfie,Standard - Both desexed & microchipped,Beagle,Tri Colour,M,Y,NORTH HAVEN
Mia,Standard - Both desexed & microchipped,Maltese,White,F,Y,NORTH HAVEN
Charley,Standard - Pension,Boxer,Red,M,Y,NORTH HAVEN
Maggie,Non-Standard - Not desexed/microchipped,Cocker Spaniel,Black,F,Y,NORTH HAVEN
Holly,Standard - Both desexed & microchipped,Cocker Spaniel,Black,F,Y,NORTH HAVEN
Bailey,Standard - Both desexed & microchipped,Maltese,White,M,Y,NORTH HAVEN
Pomme,Standard - Both desexed & microchipped,Cocker Spaniel,Black,F,Y,NORTH HAVEN
Aussie,Standard - Both desexed & microchipped,Cocker Spaniel,Black,M,Y,NORTH HAVEN
Indy,Standard - Both desexed & microchipped,Chihuahua,Caramel,M,Y,NORTH HAVEN
Marlie,Standard - Both desexed & microchipped,Samoyed,White,M,Y,NORTH HAVEN
Tiffany,Standard - Pension,Poodle (Toy),Apricot,F,Y,NORTH HAVEN
Misty,Standard - Both desexed & microchipped,Poodle (Toy),Black,F,Y,NORTH HAVEN
Daisy,Standard - Both desexed & microchipped,Shih Tzu,Apricot,F,Y,NORTH HAVEN
Brutis,Standard - Both desexed & microchipped,Australian Kelpie,Black,M,Y,NORTH HAVEN
Henry,Standard - Both desexed & microchipped,Maltese,Black,M,Y,NORTH HAVEN
Louie,Standard - Both desexed & microchipped,Papillon,Gold,M,Y,NORTH HAVEN
Frankie,Standard - Both desexed & microchipped,Labrador Retriever,Black,M,Y,NORTH HAVEN
Frankie,Standard - Both desexed & microchipped,Pug,Black,M,Y,NORTH HAVEN
Zelda,Standard - Both desexed & microchipped,Pug,Tan,F,Y,NORTH HAVEN
Danae,Non-Standard - Pension,Labrador Retriever,Black,F,N,NORTH HAVEN
Xena,Standard - Both desexed & microchipped,Bullmastiff,Fawn,F,Y,NORTH HAVEN
Buffy,Standard - Both desexed & microchipped,Labrador Retriever,Cream,F,Y,NORTH HAVEN
Baxter,Standard - Both desexed & microchipped,Maltese,White,M,Y,NORTH HAVEN
Baxter,Standard - Both desexed & microchipped,Maltese,White,M,Y,NORTH HAVEN
Benji,Non-Standard - Not desexed/microchipped,Pomeranian,Blonde,M,N,OSBORNE
scruff,Non-Standard - Pension,Jack Russell Terrier,Tri Colour,M,N,OSBORNE
Max,Non-Standard - Pension,Australian Cattle Dog,Red,M,N,OSBORNE
Cindy,Standard - Both desexed & microchipped,Border Collie,Black,F,Y,OSBORNE
BJ,Standard - Both desexed & microchipped,Rottweiler,Black,M,Y,OSBORNE
Buster,Non-Standard - Concession,Jack Russell Terrier,Cream,M,N,OSBORNE
Mia,Non-Standard - Concession,Labrador Retriever,Chocolate,F,N,OSBORNE
Bella,Non-Standard - Not desexed/microchipped,Bullmastiff,Fawn,F,Y,OSBORNE
Miah,Standard - Both desexed & microchipped,Labrador Retriever,Brown,F,Y,OSBORNE
Frank,Non-Standard - Not desexed/microchipped,American Staffordshire Terrier,Tan,M,Y,OSBORNE
Bo Jak,Non-Standard - Not desexed/microchipped,American Staffordshire Terrier,Tan,M,N,OSBORNE
Kandee,Standard - Both desexed & microchipped,Maltese,Grey,F,Y,OSBORNE
Mistee,Standard - Both desexed & microchipped,Australian Silky Terrier,Black,F,Y,OSBORNE
Bella,Standard - Pension,Chihuahua,Black,F,Y,OSBORNE
Jeda,Standard - Pension,Shih Tzu,Cream,F,Y,OSBORNE
Lexi,Non-Standard - Not desexed/microchipped,Poodle (Toy),Black,F,N,OSBORNE
Kimpy,Non-Standard - Pension,American Staffordshire Terrier,Brindle,M,N,OSBORNE
Abby,Non-Standard - Concession,Poodle (Toy),Apricot,F,N,OSBORNE
Juddy,Standard - Both desexed & microchipped,German Shepherd Dog,Black,M,Y,OSBORNE
Lizy,Non-Standard - Pension,Maltese,White,F,Y,OSBORNE
Jyndee,Non-Standard - Pension,Border Collie,Black,F,Y,OSBORNE
Lettee,Standard - Both desexed & microchipped,Affenpinscher,Tan,F,Y,OSBORNE
Keta,Non-Standard - Not desexed/microchipped,%Aki%     ,Brown,F,N,OSBORNE
Nemo,Standard - Pension,Terrier,Black,F,Y,OSBORNE
Violet,Non-Standard - Concession,Dachshund,Black,F,N,OSBORNE
Lola,Standard - Both desexed & microchipped,American Staffordshire Terrier,Tan,F,Y,OSBORNE
Jnr,Non-Standard - Concession,German Shepherd Dog,Brown,M,N,OSBORNE
Budha,Standard - Pension,Staffordshire Bull Terrier,Black,M,Y,OSBORNE
Devil,Non-Standard - Concession,German Shepherd Dog,Black,M,N,OSBORNE
Jack,Standard - Both desexed & microchipped,Beagle,Tri Colour,M,Y,OSBORNE
Bella,Standard - Both desexed & microchipped,Jack Russell Terrier,White,F,Y,OSBORNE
Dahla,Standard - Both desexed & microchipped,Australian Kelpie,Black,F,Y,OSBORNE
Patch,Non-Standard - Not desexed/microchipped,Terrier,White,F,N,OSBORNE
Parker,Non-Standard - Not desexed/microchipped,Bullmastiff,Tan,M,Y,OSBORNE
Betty,Standard - Both desexed & microchipped,American Staffordshire Terrier,White,F,Y,OSBORNE
Sol,Standard - Both desexed & microchipped,Golden Retriever,Gold,M,Y,OSBORNE
Lizzie,Standard - Both desexed & microchipped,Chihuahua,Tan,F,Y,OSBORNE
Penny,Standard - Both desexed & microchipped,Labrador Retriever,Gold,F,Y,OSBORNE
Roxie,Non-Standard - Not desexed/microchipped,Maltese,White,F,N,OSBORNE
Bliadd,Standard - Pension,Keeshond,Black,M,Y,OSBORNE
Diesel,Standard - Pension,Keeshond,Silver,M,Y,OSBORNE
Blu,Standard - Both desexed & microchipped,Alaskan Malamute,Sandy,M,Y,OSBORNE
Coco,Standard - Both desexed & microchipped,Chihuahua,Black,F,Y,OSBORNE
Buzz,Standard - Both desexed & microchipped,Chihuahua,Tan,M,Y,OSBORNE
Chopper,Standard - Both desexed & microchipped,Labrador Retriever,Black,M,Y,OSBORNE
Riley,Standard - Both desexed & microchipped,Lhasa Apso,White,M,Y,OSBORNE
Honey,Standard - Both desexed & microchipped,Beagle,Tri Colour,F,Y,OSBORNE
Ruba,Standard - Both desexed & microchipped,Australian Kelpie,Black,F,Y,OSBORNE
Jaimie,Standard - Both desexed & microchipped,German Shepherd Dog,Black,F,Y,OSBORNE
Webber,Non-Standard - Not desexed/microchipped,Bullmastiff,Brindle,M,Y,OSBORNE
Oscar,Standard - Both desexed & microchipped,Beagle,Brown,M,Y,OSBORNE
Bruce,Standard - Both desexed & microchipped,Rhodesian Ridgeback,Tan,M,Y,OSBORNE
Harry,Standard - Both desexed & microchipped,Jack Russell Terrier,White,M,Y,OSBORNE
Bobby,Standard - Both desexed & microchipped,Poodle (Toy),Brown,M,Y,OSBORNE
Shaggy,Standard - Pension,Maltese,Unknown,M,Y,OSBORNE
Brute,Standard - Both desexed & microchipped,American Staffordshire Terrier,Black,M,Y,OSBORNE
Claude,Standard - Pension,Australian Kelpie,Black,M,Y,OSBORNE
Holley,Standard - Both desexed & microchipped,Staffordshire Bull Terrier,Tan,F,Y,OSBORNE
Tinky Wink,Standard - Both desexed & microchipped,Lhasa Apso,Gold,F,Y,OSBORNE
Sax,Standard - Pension,Rottweiler,Black,M,Y,OSBORNE
Rusty,Non-Standard - Not desexed/microchipped,Jack Russell Terrier,Red,M,N,OSBORNE
Clancy,Standard - Both desexed & microchipped,Border Collie,Black,M,Y,OSBORNE
Bear,Standard - Both desexed & microchipped,Australian Kelpie,Brown,M,Y,OSBORNE
Cindy Lou,Non-Standard - Concession,Chihuahua,White,F,N,OSBORNE
PICKLES,Standard - Pension,Jack Russell Terrier,White,M,Y,OSBORNE
Boots,Non-Standard - Not desexed/microchipped,Australian Kelpie,Black,M,N,OSBORNE
Boris,Standard - Both desexed & microchipped,Australian Cattle Dog,Red,M,Y,OSBORNE
Anakin,Standard - Both desexed & microchipped,Australian Kelpie,Black,M,Y,OSBORNE
Coby,Non-Standard - Not desexed/microchipped,Border Collie,Black,M,Y,OSBORNE
Ratchet,Non-Standard - Not desexed/microchipped,Labrador Retriever,Tan,F,Y,OSBORNE
Phantom,Non-Standard - Pension,Border Collie,Black,M,Y,OSBORNE
Mitsy,Non-Standard - Pension,Australian Cattle Dog,White,F,N,OSBORNE
Opey,Standard - Both desexed & microchipped,Hungarian Vizsla,Tan,M,Y,OSBORNE
Ziggy,Standard - Both desexed & microchipped,Rottweiler,Black,M,Y,OSBORNE
Coco,Standard - Both desexed & microchipped,Staffordshire Bull Terrier,Tan,F,Y,OSBORNE
Chanel,Standard - Both desexed & microchipped,Shar Pei,White,F,Y,OSBORNE
Bodie,Standard - Both desexed & microchipped,Bull Terrier,Caramel,M,Y,OSBORNE
Rio,Non-Standard - Not desexed/microchipped,American Staffordshire Terrier,Blue,F,Y,OSBORNE
Henry,Standard - Both desexed & microchipped,Cocker Spaniel,Red,M,Y,OSBORNE
Tank,Non-Standard - Concession,American Staffordshire Terrier,Tan,M,N,OSBORNE
Bomber,Standard - Both desexed & microchipped,Staffordshire Bull Terrier,Brindle,M,Y,OSBORNE
Arlo,Standard - Both desexed & microchipped,Border Collie,Chocolate,F,Y,OSBORNE
Merlin,Standard - Both desexed & microchipped,Cavalier King Charles Spaniel,Tri Colour,M,Y,OSBORNE
Lucy,Standard - Both desexed & microchipped,Cavalier King Charles Spaniel,Tri Colour,F,Y,OSBORNE
Charlie,Standard - Both desexed & microchipped,Jack Russell Terrier,White,M,Y,OSBORNE
Cilla,Standard - Both desexed & microchipped,Staffordshire Bull Terrier,Black,F,Y,OSBORNE
Lucy,Non-Standard - Not desexed/microchipped,Boxer,Brindle,F,N,OSBORNE
Casper,Standard - Both desexed & microchipped,Maltese,White,M,Y,OSBORNE
Sasha,Standard - Both desexed & microchipped,Australian Silky Terrier,Black,F,Y,OSBORNE
Sasha,Standard - Both desexed & microchipped,American Staffordshire Terrier,Black,F,Y,OSBORNE
Sally,Standard - Both desexed & microchipped,Staffordshire Bull Terrier,Brindle,F,Y,OSBORNE
Mia,Standard - Pension,Staffordshire Bull Terrier,Brindle,F,Y,OSBORNE
Shelly,Standard - Pension,Terrier,Sandy,F,Y,OSBORNE
Rocco,Standard - Both desexed & microchipped,Corgi X,White,M,Y,OSBORNE
Kelly 3,Standard - Both desexed & microchipped,Golden Retriever,Gold,M,Y,OSBORNE
Butch,Standard - Both desexed & microchipped,Australian Silky Terrier,Black,M,Y,OSBORNE
Piper,Standard - Both desexed & microchipped,Staffordshire Bull Terrier,Red,F,Y,OSBORNE
Romeo,Standard - Both desexed & microchipped,Papillon,Tri Colour,M,Y,OSBORNE
Dusty,Standard - Both desexed & microchipped,Border Collie,White,F,Y,OSBORNE
Ben,Standard - Both desexed & microchipped,Border Collie,Black,M,Y,OSBORNE
Missy,Standard - Both desexed & microchipped,Staffordshire Bull Terrier,Tan,F,Y,OSBORNE
Paris,Standard - Both desexed & microchipped,German Shorthaired Pointer,Liver,F,Y,OSBORNE
Buffy,Standard - Both desexed & microchipped,Chihuahua,Tan,F,Y,OSBORNE
Mack,Standard - Pension,Terrier,Unknown,M,Y,OSBORNE
Macie,Non-Standard - Not desexed/microchipped,Bull Terrier,White,F,N,OSBORNE
Layla,Non-Standard - Concession,Staffordshire Bull Terrier,Black,F,N,OSBORNE
Astro,Non-Standard - Pension,Bullmastiff,Tan,M,N,OSBORNE
Narla,Standard - Both desexed & microchipped,Poodle (Toy),Dark Brindle,F,Y,OSBORNE
Bellana,Non-Standard - Not desexed/microchipped,Border Collie,Black,F,Y,OSBORNE
Tilly,Standard - Both desexed & microchipped,Dalmatian,Black,F,Y,OSBORNE
Tosh,Standard - Both desexed & microchipped,Jack Russell Terrier,Black,M,Y,OSBORNE
ziva,Standard - Both desexed & microchipped,Schnauzer,Salt,F,Y,OSBORNE
Hamish,Standard - Both desexed & microchipped,Staffordshire Bull Terrier,Brindle,M,Y,OSBORNE
Taj,Non-Standard - Not desexed/microchipped,Akita,White,M,N,OSBORNE
Sunny,Standard - Both desexed & microchipped,Rhodesian Ridgeback,Tan,M,Y,OSBORNE
Molly,Non-Standard - Not desexed/microchipped,Maltese,White,F,N,OSBORNE
Kira,Non-Standard - Not desexed/microchipped,German Shepherd Dog,Black,F,N,OSBORNE
Bella,Standard - Both desexed & microchipped,Rhodesian Ridgeback,Brindle,F,Y,OSBORNE
Molly,Non-Standard - Pension,Jack Russell Terrier,White,F,N,OSBORNE
Cassy,Standard - Pension,Staffordshire Bull Terrier,Brindle,F,Y,OSBORNE
Tilly,Standard - Pension,Pomeranian,Tan,F,Y,OSBORNE
Bubbles,Standard - Pension,Maltese,Tri Colour,F,Y,OSBORNE
Matilda,Standard - Pension,Cavalier King Charles Spaniel,Blenheim,F,Y,OSBORNE
Aston,Standard - Both desexed & microchipped,Border Collie,Grey,M,Y,OSBORNE
Diesel,Standard - Both desexed & microchipped,Australian Cattle Dog,Gold,M,Y,OSBORNE
Cooper,Standard - Pension,Cocker Spaniel,Gold,M,Y,OSBORNE
Maximus,Standard - Pension,Australian Cattle Dog,Blue,M,Y,OSBORNE
Bella,Non-Standard - Pension,Staffordshire Bull Terrier,Red,F,Y,OSBORNE
Chewie,Non-Standard - Not desexed/microchipped,Bull Arab,Brindle,M,N,OSBORNE
Gypsy,Standard - Both desexed & microchipped,Dachshund,Tan,F,Y,OSBORNE
Dolce,Non-Standard - Not desexed/microchipped,Maltese,Black,M,N,OSBORNE
Coco,Non-Standard - Not desexed/microchipped,Rottweiler,Black,M,N,OSBORNE
Belle,Standard - Pension,Greyhound,Black,F,Y,OSBORNE
Charlie Brown,Standard - Both desexed & microchipped,British Bulldog,Red,M,Y,OSBORNE
Tan,Standard - Pension,Jack Russell Terrier,White,F,Y,OSBORNE
Patch,Standard - Pension,Jack Russell Terrier,White,F,Y,OSBORNE
Gypsy,Standard - Both desexed & microchipped,Chihuahua,Black,F,Y,OSBORNE
Doogie,Standard - Both desexed & microchipped,Schnauzer (Miniature),Pepper,M,Y,OSBORNE
Pepper,Standard - Both desexed & microchipped,Schnauzer (Miniature),Pepper,F,Y,OSBORNE
Angel,Standard - Pension,Staffordshire Bull Terrier,Brindle,F,Y,OSBORNE
Ruby,Standard - Both desexed & microchipped,Pug,Fawn,F,Y,OSBORNE
Frankie,Standard - Both desexed & microchipped,Golden Retriever,Chocolate,M,Y,OSBORNE
Angel,Standard - Pension,Cross Breed,Black,F,Y,OSBORNE
Arnold,Standard - Pension,West Highland White Terrier,Black,M,Y,OSBORNE
Luna,Standard - Both desexed & microchipped,German Shorthaired Pointer,White,F,Y,OSBORNE
Pepper,Non-Standard - Not desexed/microchipped,Shepherd,Black,F,N,OSBORNE
Millie,Standard - Both desexed & microchipped,Poodle (Toy),Gold,F,Y,OSBORNE
Wilson,Standard - Both desexed & microchipped,Poodle (Toy),Gold,M,Y,OSBORNE
Kheta,Non-Standard - Concession,Maltese,Black,F,N,OSBORNE
Ruby,Non-Standard - Concession,Jack Russell Terrier,Fawn,F,N,OSBORNE
Toby,Non-Standard - Concession,Terrier,Tan,M,N,OSBORNE
Bella,Standard - Pension,Shih Tzu,White,F,Y,OSBORNE
Ella,Standard - Both desexed & microchipped,Maltese,White,F,Y,OSBORNE
Benji,Standard - Pension,Maltese,Biscuit,M,Y,OSBORNE
Sammi,Standard - Both desexed & microchipped,Siberian Husky,Black,F,Y,OSBORNE
MATILDA,Standard - Both desexed & microchipped,Australian Kelpie,Black,F,Y,OSBORNE
Bindi,Standard - Both desexed & microchipped,Australian Kelpie,Brown,F,Y,OSBORNE
Cosmo,Standard - Pension,Staffordshire Bull Terrier,Brindle,M,Y,OSBORNE
Brutus,Non-Standard - Pension,Terrier,White,M,N,OSBORNE
Lulu,Standard - Both desexed & microchipped,Maltese,Cream,F,Y,OSBORNE
Coco,Non-Standard - Pension,Chihuahua,Tan,F,N,OSBORNE
Podgie,Non-Standard - Pension,Chihuahua,Gold,F,N,OSBORNE
Tank,Standard - Both desexed & microchipped,Staffordshire Bull Terrier,Brown,M,Y,OSBORNE
Abbie,Standard - Both desexed & microchipped,Staffordshire Bull Terrier,Brown,F,Y,OSBORNE
Bruce,Standard - Both desexed & microchipped,Labrador Retriever,Black,M,Y,OSBORNE
Bateman,Standard - Both desexed & microchipped,Staffordshire Bull Terrier,Brindle,M,Y,OSBORNE
Ellis,Standard - Both desexed & microchipped,Staffordshire Bull Terrier,Brindle,M,Y,OSBORNE
Hooch,Standard - Both desexed & microchipped,Mastiff,Tan,M,Y,OSBORNE
Trusty,Non-Standard - Pension,Terrier,White,M,Y,OSBORNE
Mack,Non-Standard - Not desexed/microchipped,Australian Kelpie,Black,M,Y,OSBORNE
Alfie,Standard - Both desexed & microchipped,Maltese,Black,M,Y,OSBORNE
Marley,Non-Standard - Not desexed/microchipped,German Shepherd Dog,Black,F,N,OSBORNE
Molly,Standard - Pension,Poodle (Miniature),Black,F,Y,OSBORNE
Tessa,Non-Standard - Concession,Staffordshire Bull Terrier,Brindle,F,N,OSBORNE
Roxy,Standard - Both desexed & microchipped,Pointer,Black,F,Y,OSBORNE
Boston,Non-Standard - Not desexed/microchipped,Dachshund (Miniature),Tan,M,N,OSBORNE
